"добыча полезных ископаемых";"der Abbau, -e"
"размер резиновой рыбки";"die Gummifischgröße, -n"
"резиновая сеть";"das Gumminetz, -e"
"резиновая поверхность";"die Gummioberfläche, -n"
"резиновые сапоги";"die Gummistiefel, -"
"омут";"der Gumpen, -"
"лещ";"die Güster, -"
"класс качества";"die Güteklasse, -n"
"волосяная оснастка";"die Haarmontage, -n"
"присоска";"die Haftscheibe, -n"
"тип крючка";"die Hakenart, -en"
"форма крючка";"die Hakenform, -en"
"размер крючка";"die Hakengröße, -n"
"экстрактор";"der Hakenlöser, -"
"узел на цевье крючка";"der Hakenschaftknoten, -"
"кончики крючков";"die Hakenspitzen, -"
"система крючков";"das Hakensystem, -e"
"тип крючка";"der Hakentyp, -en"
"выбор крючка";"die Hakenwahl, -"
"остановка";"der Halt, -e"
"срок годности";"die Haltbarkeit, -"
"хранение";"die Hälterung, -"
"рука";"die Hand, -e"
"ручная удочка";"die Handangel, -n"
"ручные сосуды";"die Handgefäßen, -"
"обработка";"die Handhabung, -"
"действия";"die Handlungen, -"
"букет";"der Handstrauß, -e"
"горсть";"die Handvoll, -"
"застревание";"das Hängenbleiben, -"
"зацеп";"der Hänger, -"
"моча";"der Harn, -"
"мочевой пузырь";"die Harnblase, -n"
"гарпун";"die Harpune, -n"
"степень твердости";"der Härtegrad, -e"
"твердая древесина";"das Hartholz, -e"
"твердый пенопласт";"der Hartschaum, -"
"жесткий луч";"der Hartstrahl, -en"
"орех";"die Hasel, -n"
"чомга";"der Haubentaucher, -"
"основная задача";"die Hauptaufgabe, -n"
"основные группы";"die Hauptgruppen, -"
"основной нервный ствол";"der Hauptnervenstrang, -"
"основная леска";"die Hauptschnur, -e"
"толщина основной лески";"die Hauptschnurstärke, -n"
"основной луч";"der Hauptstrahl, -en"
"домашнее животное";"das Haustier, -e"
"кожа";"die Haut, -e"
"покров кожи";"die Hautabdeckung, -en"
"покрытие кожи";"die Hautbedeckung, -en"
"кожное заболевание";"die Hautkrankheit, -en"
"кожный паразит";"der Hautparasit, -en"
"повреждение кожи";"der Hautschaden, -"
"паразит кожи";"der Hautschmarotzer, -"
"линька";"die Häutung, -en"
"изменение кожи";"die Hautveränderung, -en"
"гребень";"die Hechel, -n"
"грести";"hecheln"
"зуб гребня";"der Hechelzahn, -¨-e"
"изгородь";"die Hecke, -n"
"уход";"die Hege, -n"
"мера по уходу";"die Hegemaßnahme, -n"
"обязанность по уходу";"die Hegepflicht, -en"
"цель ухода";"das Hegeziel, -e"
"тепловая электростанция";"das Heizkraftwerk, -e"
"помощник";"der Helfer, -"
"выдача";"die Herausgabe, -n"
"вынимать";"herausnehmen"
"осень";"der Herbst, -e"
"происхождение";"die Herkunft, -¨-e"
"вода происхождения";"das Herkunftsgewässer, -"
"материал изготовления";"das Herstellungsmaterial, -e"
"сердце";"das Herz, -en"
"сердечный";"Herzens"
"удар в сердце";"der Herzstich, -e"
"помощь";"die Hilfe, -n"
"вспомогательный прибор";"das Hilfsgerät, -e"
"вспомогательный инструмент";"das Hilfsinstrument, -e"
"небо";"der Himmel, -"
"задний конец";"das Hinterende, -n"
"брюшко";"der Hinterleib, -er"
"высокогорная форма";"die Hochgebirgsform, -en"
"высокогорное озеро";"der Hochgebirgssee, -n"
"морская рыбалка";"das Hochseefischen"
"наводнение";"das Hochwasser, -"
"случай наводнения";"das Hochwasserereignis, -se"
"защита от наводнений";"der Hochwasserschutz, -"
"лебедь-шипун";"der Höckerschwan, -¨-e"
"высота";"die Höhe, -n"
"стеклотара";"das Hohlglas, -¨-er"
"дерево";"das Holz, -¨-er"
"деревянный забор";"der Holzlattenzaun, -¨-e"
"гормональное управление";"die Hormonsteuerung, -en"
"роговица";"die Hornhaut, -¨-e"
"помутнение роговицы";"die Hornhauttrübung, -en"
"роговой зуб";"der Hornzahn, -""e"
"стручок";"die Hülse, -n"
"соединение внахлёст";"die Hülsenverbindung, -en"
"гуминовая кислота";"die Huminsäure, -n"
"собака";"der Hund, -e"
"веслоногий рачок";"der Hüpferling, -e"
"вилка пчеловода";"die Imkergabel, -n"
"индивидуум";"das Individuum, -ien"
"плотность индивидуумов";"die Individuendichte, -n"
"промышленное предприятие";"die Industrieanlage, -n"
"инфекционная болезнь";"die Infektionskrankheit, -en"
"информация";"die Information, -en"
"владелец";"der Inhaber, -"
"содержание";"der Inhalt, -e"
"внутреннее ухо";"das Innenohr, -en"
"внутренний паразит";"der Innenparasit, -en"
"внутренняя сторона";"die Innenseite, -n"
"насекомое";"das Insekt, -en"
"яйца насекомых";"die Insekteneier, -"
"личинка насекомого";"die Insektenlarve, -n"
"остров";"die Insel, -n"
"институт";"das Institut, -e"
"интерес";"das Interesse, -n"
"охота";"die Jagd, -en"
"лицо, имеющее право на охоту";"der Jagdberechtigte, -n"
"право на охоту";"das Jagdrecht, -e"
"год";"das Jahr, -e"
"течение года";"der Jahresverlauf, -e"
"время года";"die Jahreszeit, -en"
"январь";"der Januar, -e"
"джеркбейт";"der Jerkbait, -s"
"юность";"die Jugend, -"
"юношеское рыболовное удостоверение";"der Jugendfischereischein, -e"
"ювенальная форма";"die Jugendform, -en"
"юный";"der Jugendliche, -n"
"юношеская стадия";"das Jugendstadium, -ien"
"июль";"der Juli, -"
"молодой угорь";"der Jungaal, -e"
"молодая барбус";"die Jungbarbe, -n"
"молодая рыба";"der Jungfisch, -e"
"молодая мидия";"die Jungmuschel, -n"
"молодое животное";"das Jungtier, -e"
"молодой судак";"der Jungzander, -"
"июнь";"der Juni, -"
"известь";"der Kalk, -e"
"содержание извести";"der Kalkgehalt, -e"
"рак-гамбарус";"der Kamberkrebs, -e"
"гребень";"der Kamm, -""e"
"камера";"die Kammer, -n"
"чешуйка гребня";"die Kammschuppe, -n"
"каннибализм";"der Kannibalismus, -"
"капитал";"das Kapital, -"
"карась";"die Karausche, -n"
"картофель";"die Kartoffel, -n"
"ёрш";"der Kaulbarsch, -e"
"жевательная пластинка";"die Kauplatte, -n"
"разрез на горле";"der Kehlschnitt, -e"
"зародыш";"der Keim, -e"
"знание";"die Kenntnis, -se"
"сачок";"der Kescher, -"
"котел";"der Kessler, -"
"бычок-головастик Кесслера";"die Kesslergrundel, -n"
"шнур с грузилом";"die Keulenschnur, -"
"чибис";"der Kiebitz, -e"
"челюсть";"der Kiefer, -"
"жабра";"die Kieme, -n"
"придатки жабр";"die Kiemenanhänge, -"
"жаберная дуга";"der Kiemenbogen, -"
"жаберная крышка";"der Kiemendeckel, -"
"движение жаберной крышки";"die Kiemendeckelbewegung, -en"
"болезнь жабр";"die Kiemenfäule, -"
"жаберный рак";"der Kiemenkrebs, -e"
"поражение жаберным раком";"der Kiemenkrebsbefall, -""e"
"жаберное отверстие";"die Kiemenöffnung, -en"
"жаберное пространство";"der Kiemenraum, -e"
"жаберная тычинка";"der Kiemenreusendorn, -en"
"круговой срез жабры";"der Kiemenrundschnitt, -e"
"жаберный разрез";"der Kiemenschnitt, -e"
"гравий";"der Kies, -e"
"гравийная отмель";"die Kiesbank, -e"
"гравийное ложе";"das Kiesbett, -en"
"галечный камень";"der Kieselstein, -e"
"гравийный карьер";"die Kiesgrube, -n"
"мечущий икру на гравии";"der Kieslaicher, -"
"место для метания икры на гравии";"der Kieslaichplatz, -e"
"километр";"der Kilometer, -"
"соединительный узел";"der Klammerknoten, -"
"класс";"die Klasse, -n"
"вид мелкой рыбы";"die Kleinfischart, -en"
"мелкая рыба";"der Kleinfisch, -e"
"мелкий рачок";"der Kleinkrebs, -e"
"личинка мелкой стрекозы";"die Kleinlibellenlarve, -n"
"вид мелкого животного";"die Kleintierart, -en"
"мелкое животное";"das Kleintier, -e"
"изменение климата";"der Klimawandel, -"
"лезвие";"die Klinge, -n"
"излом";"der Knick, -e"
"химический источник света";"das Knicklicht, -er"
"костная рыба";"der Knochenfisch, -e"
"костная пластина";"die Knochenplatte, -n"
"хрящевая рыба";"der Knorpelfisch, -e"
"узел";"der Knot, -en"
"узел";"der Knoten, -"
"прочность узла";"die Knotenfestigkeit, -en"
"колчан";"der Köcher, -"
"ручейник";"die Köcherfliege, -n"
"личинка ручейника";"die Köcherfliegenlarve, -n"
"приманка";"der Köder, -"
"живец";"der Köderfisch, -e"
"ловля на живца";"das Köderfischen, -"
"ловля на живца";"der Köderfischfang, -e"
"имитация живца";"die Köderfischimitation, -en"
"проводка приманки";"die Köderführung, -en"
"крючок для приманки";"der Köderhaken, -"
"материал приманки";"das Ködermaterial, -ien"
"углеродное волокно";"die Kohlefaser, -n"
"углекислый газ";"das Kohlendioxid, -"
"омут";"die Kolke, -n"
"комбинация";"die Kombination, -en"
"форма конструкции";"die Konstruktionsform, -en"
"контакт";"der Kontakt, -e"
"голова";"der Kopf, -e"
"основание головы";"der Kopfansatz, -e"
"удар головой";"der Kopfschlag, -e"
"головной поводок";"die Kopfschnur, -en"
"кончик головы";"die Kopfspitze, -n"
"головная часть";"das Kopfteil, -e"
"бычки";"die Koppen, -"
"баклан";"der Kormoran, -e"
"зёрнышко";"das Körnchen, -"
"тело";"der Körper, -"
"покров тела";"die Körperbedornung, -en"
"конец тела";"das Körperende, -n"
"бок тела";"die Körperflanke, -n"
"форма тела";"die Körperform, -en"
"размер тела";"die Körpergröße, -n"
"осанка";"die Körperhaltung, -en"
"длина тела";"die Körperlänge, -n"
"середина тела";"die Körpermitte, -n"
"поверхность тела";"die Körperoberfläche, -n"
"сторона тела";"die Körperseite, -n"
"температура тела";"die Körpertemperatur, -en"
"окружность тела";"der Körperumfang, -e"
"нижняя часть тела";"die Körperunterseite, -n"
"сила";"die Kraft, -""e"
"автомобиль";"das Kraftfahrzeug, -e"
"распределение силы";"die Kraftverteilung, -en"
"болезнь";"die Krankheit, -en"
"возбудитель болезни";"der Krankheitserreger, -"
"симптом";"die Krankheitserscheinung, -en"
"царапина";"der Kratzer, -"
"капуста";"das Kraut, -""er"
"земноводное";"der Krautlaicher, -"
"рак";"der Krebs, -e"
"вид рака";"die Krebsart, -en"
"ловля раков";"der Krebsfang, -""e"
"ловец раков";"der Krebsfänger, -"
"водоём для раков";"das Krebsgewässer, -"
"панцирь рака";"der Krebspanzer, -"
"раковая чума";"die Krebspest, -"
"кровообращение";"der Kreislauf, -""e"
"районное управление";"die Kreisverwaltungsbehörde, -n"
"перекрёсток";"die Kreuzung, -en"
"личинка мошки";"die Kriebelmückenlarve, -n"
"критерий";"das Kriterium, -ien"
"жаба";"die Kröte, -n"
"ракообразное";"das Krustentier, -e"
"паук-кругопряд";"der Kugelspinner, -"
"аккумулятор холода";"der Kühlakku, -s"
"сумка-холодильник";"die Kühlbox, -en"
"холодильник";"der Kühlschrank, -""e"
"забор охлаждающей воды";"die Kühlwassereinleitung, -en"
"культурный ландшафт";"die Kulturlandschaft, -en"
"срок расторжения договора";"die Kündigungsfrist, -en"
"шнур из искусственного волокна";"die Kunstfaserschnur, -""e"
"искусственная мушка";"die Kunstfliege, -n"
"искусственная приманка";"der Kunstköder, -"
"ловля на искусственные приманки";"das Kunstköderangeln, -"
"пластик";"der Kunststoff, -e"
"пластиковая пластинка";"das Kunststoffblättchen, -"
"озёрная чайка";"die Lachmöwe, -n"
"положение";"die Lage, -n"
"срок хранения";"die Lagerdauer, -n"
"условия хранения";"die Lagerungsbedingungen, -"
"икра";"der Laich, -"
"откладка икры";"die Laichablage, -n"
"высыпание на коже от икры";"der Laichausschlag, -""e"
"нерест";"das Laichen, -"
"нерестовая рыба";"der Laichfisch, -e"
"нерестилище";"das Laichgebiet, -e"
"нерестовая яма";"die Laichgrube, -n"
"крючок для ловли рыбы во время нереста";"der Laichhaken, -"
"помощь при нересте";"die Laichhilfe, -n"
"рдест";"das Laichkraut, -""er"
"место нереста";"der Laichplatz, -""e"
"половая зрелость";"die Laichreife, -"
"заповедник для нереста";"der Laichschonbezirk, -e"
"субстрат для нереста";"das Laichsubstrat, -e"
"миграция на нерест";"die Laichwanderung, -en"
"время нереста";"die Laichzeit, -en"
"посадочное устройство";"das Landegerät, -e"
"помощь при посадке";"die Landehilfe, -n"
"ведомство земли";"das Landesamt, -""er"
"учреждение земли";"die Landesanstalt, -en"
"картина ландшафта";"das Landschaftbild, -er"
"пейзаж";"die Landschaft, -en"
"ландшафтный заповедник";"das Landschaftsschutzgebiet, -e"
"посадка";"die Landung, -en"
"фермер";"der Landwirt, -e"
"сельское хозяйство";"die Landwirtschaft, -en"
"длина";"die Länge, -n"
"мера длины";"das Längenmaß, -e"
"продольная полоса";"der Längsstreifen, -"
"продольная защита откоса";"die Längsverbau, -e"
"лоскут";"der Lappen, -"
"личинка";"die Larve, -n"
"личиночная стадия";"das Larvenstadium, -ien"
"беседка";"die Laube, -n"
"поведение при беге";"das Laufverhalten, -"
"жизненные потребности";"der Lebensbedarf, -"
"условие жизни";"die Lebensbedingung, -en"
"биоценоз";"die Lebensgemeinschaft, -en"
"год жизни";"das Lebensjahr, -e"
"продукты питания";"das Lebensmittel, -"
"среда обитания";"der Lebensraum, -e"
"условие среды обитания";"die Lebensraumbedingung, -en"
"разнообразие среды обитания";"die Lebensraumvielfalt, -"
"продолжительность жизни";"die Lebenszeit, -"
"печень";"die Leber, -n"
"зеркальный карп";"der Lederkarpfen, -"
"холостой бросок";"der Leerwurf, -e"
"яйцеклад";"die Legeröhre, -n"
"глина";"der Lehm, -e"
"полость тела";"die Leibeshöhle, -n"
"страдание";"das Leid, -"
"руководящий образ";"das Leitbild, -er"
"вид индикатор";"der Leitfisch, -e"
"руководящая идея";"der Leitgedanke, -n"
"личинка стрекозы";"die Libellenlarve, -n"
"свет";"das Licht, -"
"источник света";"die Lichtquelle, -n"
"зрительное ощущение света";"der Lichtsinneseindruck, -e"
"линия";"die Linie, -n"
"губа";"die Lippe, -n"
"крючок на губе";"der Lipphaken, -"
"список";"die Liste, -n"
"литр";"der Liter, -"
"ложка";"der Löffel, -"
"экстрактор";"die Lösezange, -n"
"растворимость";"die Löslichkeit, -"
"решение";"die Lösung, -en"
"воздух";"die Luft, -"
"давление воздуха";"der Luftdruck, -e"
"лёгкое";"die Lunge, -n"
"лупа";"die Lupe, -n"
"земноводное";"der Lurch, -e"
"опарыш";"die Made, -n"
"контейнер для опарышей";"das Madenkörbchen, -"
"функция магазина";"die Magazinfunktion, -en"
"желудок";"der Magen, -"
"май";"der Mai, -"
"майская рыба";"der Maifisch, -e"
"Майн";"der Main, -"
"майская ренка";"die Mairenke, -n"
"кукуруза";"der Mais, -"
"кукурузное поле";"das Maisfeld, -er"
"малаку́я";"die Malermuschel, -n"
"недостаток";"der Mangel, -"
"самец";"das Männchen, -"
"объём рынка";"die Marktgröße, -n"
"рыночная стоимость";"der Marktwert, -e"
"мраморный";"marmoriert"
"март";"der März, -e"
"мера";"das Maß, -e"
"массовое развитие";"die Massenentwicklung, -en"
"массовое явление";"das Massenvorkommen, -"
"мера";"die Maßnahme, -n"
"кляча";"der Mastwurf, -e"
"материал";"das Material, -ien"
"пасть";"das Maul, -er"
"область рта";"der Maulbereich, -e"
"внутренняя сторона рта";"die Maulinnenseite, -n"
"часть рта";"die Maulpartie, -n"
"щель рта";"die Maulspalte, -n"
"кончик рта";"die Maulspitze, -n"
"мышь";"die Maus, -e"
"механический";"mechanisch"
"море";"das Meer, -e"
"морская нить";"die Meeresschnur, -e"
"морская форель";"die Meerforelle, -n"
"большинство";"die Mehrheit, -en"
"количество";"die Menge, -n"
"человек";"der Mensch, -en"
"признак";"das Merkmal, -e"
"нож";"das Messer, -"
"лезвие ножа";"die Messerklinge, -n"
"метод измерения";"die Messmethode, -n"
"измерение";"die Messung, -en"
"металл";"das Metall, -e"
"металлический лист";"das Metallblatt, -er"
"металлический блеск";"der Metallglanz, -"
"метр";"der Meter, -"
"молоко";"die Milch, -"
"молочник";"der Milchner, -"
"миллиграмм";"das Milligramm, -e"
"минимальная длина";"die Mindestlänge, -n"
"минимальный стандарт";"der Mindeststandard, -s"
"минерал";"der Mineralstoff, -e"
"норка";"der Mink, -e"
"минусовая температура";"die Minustemperatur, -en"
"иметь при себе";"mitführen"
"член";"das Mitglied, -er"
"совладелец";"der Mitpächter, -"
"середина";"die Mitte, -n"
"возможность";"die Möglichkeit, -en"
"тритон";"der Molch, -e"
"монтаж";"die Montage, -n"
"мопс";"der Mopskopf, -e"
"мотопомпа";"die Motorpumpe, -n"
"комар";"die Mücke, -n"
"канал мельницы";"der Mühlkanal, -e"
"подкаменщик";"die Mühlkoppe, -n"
"мультипликаторная катушка";"die Multirolle, -n"
"устье";"der Mündungsbereich, -e"
"вид моллюска";"die Muschelart, -en"
"личинка моллюска";"die Muschellarve, -n"
"ракушка";"die Muschel, -n"
"паразит моллюсков";"der Muschelparasit, -en"
"мышечный слой";"die Muskelschicht, -en"
"мышечное дрожание";"das Muskelzittern, -"
"мускулатура";"die Muskulatur, -en"
"соседство";"die Nachbarschaft, -en"
"ночная рыбалка";"das Nachtangeln, -"
"ночь";"die Nacht, -e"
"недостаток";"der Nachteil, -e"
"доказательство";"der Nachweis, -e"
"потомство";"die Nachzucht, -en"
"удар по шее";"der Nackenschlag, -schläge"
"близость";"die Nähe, -n"
"питательный";"der Nähr, -e"
"питательная жидкость";"die Nährflüssigkeit, -en"
"питательное вещество";"der Nährstoff, -e"
"содержание питательных веществ";"der Nährstoffgehalt, -e"
"поголовье кормовых животных";"der Nährtierbestand, -bestände"
"питание";"die Nahrung, -en"
"предложение еды";"das Nahrungsangebot, -e"
"потребление пищи";"die Nahrungsaufnahme, -n"
"основа питания";"die Nahrungsgrundlage, -n"
"пищевая цепь";"die Nahrungskette, -n"
"пищевой конкурент";"der Nahrungskonkurrent, -en"
"пищевая конкуренция";"die Nahrungskonkurrenz, -en"
"обеспечение продовольствием";"die Nahrungssicherung, -en"
"пищевой спектр";"das Nahrungsspektrum, -pektren"
"имя";"der Name, -n"
"нос";"die Nase, -n"
"носовое отверстие";"die Nasenöffnung, -en"
"мокрая рыба";"der Nassfisch, -e"
"мокрая мушка";"die Nassfliege, -n"
"мокрый шнур";"die Nassschnur, -schnüre"
"природа";"die Natur, -en"
"натуральная приманка";"der Naturköder, -"
"охрана природы";"der Naturschutz, -"
"заповедник";"das Naturschutzgebiet, -e"
"закон о защите природы";"das Naturschutzrecht, -e"
"инспектор по охране природы";"die Naturschutzwacht, -en"
"второстепенный водоём";"das Nebengewässer, -"
"елец";"der Nerfling, -e"
"гнездо";"das Nest, -er"
"постройка гнезда";"der Nestbau, -ten"
"сеть";"das Netz, -e"
"падение сети";"der Netzfall, -fälle"
"сетчатый вольер";"das Netzgehege, -"
"сетчатый мешок";"der Netzsack, -säcke"
"нейтрализация";"die Neutralisierung, -en"
"осадок";"der Niederschlag, -schläge"
"почка";"die Niere, -n"
"почечный отросток";"der Nierenfortsatz, -sätze"
"нормальное положение";"die Normallage, -n"
"нормирование";"die Normung, -en"
"чрезвычайное положение";"der Notstand, -stände"
"использование";"die Nutzung, -en"
"нимфа";"die Nymphe, -n"
"верх";"der Ober, -"
"поверхность";"die Oberfläche, -n"
"рыба поверхностного слоя";"der Oberflächenfisch, -e"
"поверхностные воды";"die Oberflächengewässer, -"
"эпидермис";"die Oberhaut, -häute"
"верхняя челюсть";"der Oberkiefer, -"
"верхняя губа";"die Oberlippe, -n"
"верхняя сторона";"die Oberseite, -n"
"ушко";"das Öhr, -en"
"ушко крючка";"der Öhrhaken, -"
"октябрь";"der Oktober, -"
"административное правонарушение";"die Ordnungswidrigkeit, -en"
"орган";"das Organ, -e"
"организм";"der Organismus, -men"
"определение местоположения";"die Ortung, -en"
"слуховой камешек";"der Otolith, -en"
"арендатор";"der Pächter, -"
"арендные отношения";"das Pachtverhältnis, -se"
"договор аренды";"der Pachtvertrag, -träge"
"срок аренды";"die Pachtzeit, -en"
"паразит";"der Parasit, -en"
"проходимость";"die Passierbarkeit, -en"
"патерностная удочка";"die Paternosterangel, -n"
"гранула";"das Pellet, -s"
"убийца";"der Killer, -"
"пергаментная бумага";"das Pergamentpapier, -e"
"жемчужная рыба";"der Perlfiisch, -e"
"личинка жемчужницы";"die Perlmuschellarve, -n"
"жемчужница";"die Perlmuschel, -n"
"человек";"die Person, -en"
"удостоверение личности";"der Personalausweis, -e"
"парик";"die Perücke, -n"
"образование париков";"die Perückenbildung, -en"
"стреловидная форма";"die Pfeilform, -en"
"стрелолист";"das Pfeilkraut, -er"
"растение";"die Pflanze, -n"
"растительность";"der Pflanzenbewuchs, -"
"травоядное животное";"der Pflanzenfresser, -"
"питательный элемент для растений";"der Pflanzennährstoff, -e"
"средство защиты растений";"das Pflanzenschutzmittel, -"
"часть растения";"der Pflanzenteil, -e"
"растительный мир";"die Pflanzenwelt, -en"
"слива";"die Pflaume, -n"
"уход";"die Pflege, -n"
"обязанность";"die Pflicht, -en"
"сошник";"das Pflugscharbein, -e"
"фосфат";"das Phosphat, -e"
"фосфор";"der Phosphor, -"
"фосфорное соединение";"die Phosphorverbindung, -en"
"фотосинтез";"die Photosynthese, -n"
"фитопланктон";"das Phytoplankton, -"
"гриб";"der Pilz, -e"
"грибковая болезнь";"die Pilzkrankheit, -en"
"пинцет";"die Pinzette, -n"
"планктон";"das Plankton, -"
"полиэтиленовый пакет";"die Plastiktüte, -n"
"камбала";"der Plattfisch, -e"
"место";"der Platz, -e"
"очки «полароид»";"die Polaroidbrille, -n"
"полиция";"die Polizei, -"
"полицейский";"der Polizeibeamte, -n"
"полицейский участок";"die Polizeidienststelle, -n"
"полиамид";"das Polyamid, -e"
"поппер";"der Popper, -"
"порция";"die Portion, -en"
"поплавок";"die Pose, -n"
"материал для поплавков";"das Posenmaterial, -"
"хищник";"der Prädator, -en"
"премия";"die Prämie, -n"
"презентация";"die Präsentation, -en"
"продукт";"das Produkt, -e"
"производительность";"die Produktivität, -"
"процесс";"der Prozess, -e"
"экзамен";"die Prüfung, -en"
"экзаменационный вопрос";"die Prüfungsfrage, -n"
"экзаменационное свидетельство";"das Prüfungszeugnis, -se"
"точка";"der Punkt, -e"
"зрачок";"die Pupille, -n"
"привéсок привратника";"der Pylorusanhänger, -"
"квалификация";"die Qualifikation, -en"
"выход источника";"der Quellaustritt, -e"
"мох, растущий у источника";"das Quellmoos, -e"
"родниковая вода";"das Quellwasser, -"
"поперечное сооружение";"das Querbauwerk, -e"
"поперечное строительство";"die Querverbauung, -en"
"горло";"der Rachen, -"
"зевник";"die Rachensperre, -n"
"рама";"der Rahmen, -"
"край";"der Rand, -er"
"маргинальная группа";"die Randgruppe, -n"
"рапаловский узел";"der Rapalaknoten, -"
"жерех";"der Rapfen, -"
"угорь-разбойник";"der Raubaal, -e"
"хищная рыба";"der Raubfisch, -e"
"рыболовный крючок для хищной рыбы";"der Raubfischhaken, -"
"реакция";"die Reaktion, -en"
"состояние реакции";"der Reaktionszustand, -stände"
"счёт";"die Rechnung, -en"
"право";"das Recht, -e"
"правовое постановление";"die Rechtsverordnung, -en"
"правовое предписание";"die Rechtsvorschrift, -en"
"правило";"die Regel, -n"
"регулирование";"die Regelung, -en"
"дождь";"der Regen, -"
"радужная форель";"die Regenbogenforelle, -n"
"дождевик";"der Regenmantel, -mäntel"
"отвод дождевой воды";"die Regenwassereinleitung, -en"
"дождливая погода";"das Regenwetter, -"
"правительство";"die Regierung, -en"
"регион";"die Region, -en"
"трение";"die Reibung, -en"
"сопротивление трению";"der Reibungswiderstand, -stände"
"ряд";"die Reihe, -n"
"цапля";"der Reiher, -"
"колония цапель";"die Reiherkolonie, -n"
"закидушка";"die Reißangel, -n"
"сопротивление на разрыв";"die Reißfestigkeit, -en"
"искусственная приманка";"der Reizköder, -"
"восстановление естественного состояния";"die Renaturierung, -en"
"сиг";"die Renke, -n"
"относящийся к сигам";"der Renkenartig, -"
"озеро, богатое сигами";"der Renkensee, -n"
"способность к размножению";"die Reproduktionsfähigkeit, -en"
"резерв";"die Reserve, -n"
"морская ловушка";"die Reuse, -n"
"лов рыбы морскими ловушками";"die Reusenfischerei, -en"
"Рейн";"der Rhein, -"
"изменение направления";"die Richtungsänderung, -en"
"обонятельная ямка";"die Riechgrube, -n"
"ленточный червь";"der Riemenwurm, -würmer"
"кольцо";"der Ring, -e"
"обыкновенный уж";"die Ringelnatter, -n"
"жёлоб";"die Rinne, -n"
"ручей";"das Rinnsal, -e"
"ребро";"die Rippe, -n"
"рёберная дуга";"der Rippenbogen, -"
"ряд рёбер";"die Rippenreihe, -n"
"икра";"der Rogen, -"
"самка рыбы с икрой";"der Rogner, -"
"тростник";"das Rohr, -e"
"рогоз";"der Rohrkolben, -"
"камышовка";"der Rohrsänger, -"
"роль";"die Rolle, -n"
"крепление катушки";"die Rollenbefestigung, -en"
"ножка катушки";"der Rollenfuß, -füße"
"катушкодержатель";"der Rollenhalter, -"
"держатель катушки";"die Rollenhalterung, -en"
"тип катушки";"der Rollentyp, -en"
"покраснение";"die Rotfärbung, -en"
"краснопёрка";"die Rotfeder, -n"
"маршрут";"die Route, -n"
"рывок";"der Ruck, -e"
"спина";"der Rücken, -"
"спинной плавник";"die Rückenflosse, -n"
"край спинного плавника";"der Rückenflossenrand, -änder"
"спинной мозг";"das Rückenmark, -"
"водяной клоп";"der Rückenschwimmer, -"
"колючка на спине";"der Rückenstachel, -"
"спад";"der Rückgang, -gänge"
"поддержка";"der Rückhalt, -"
"возвращение";"die Rückkehr, -en"
"блокировка обратного хода";"die Rücklaufsperre, -n"
"отставка";"der Rücktritt, -e"
"длина туловища";"die Rumpflänge, -n"
"мускулатура туловища";"die Rumpfmuskulatur, -en"
"круглоротые";"die Rundmäuler, -"
"круглая чешуя";"die Rundschuppe, -n"
"морда; хобот; хвост";"die Rute, -n"
"тело хвоста";"der Rutenkörper, -"
"длина хвоста";"die Rutenlänge, -n"
"кончик хвоста";"die Rutenspitze, -n"
"налим";"die Rutte, -n"
"знание дела";"die Sachkenntnis, -se"
"раствор аммиака";"die Salmiaklösung, -en"
"лососевые";"die Salomonide, -n"
"лососевые воды";"die Salmonidengewässer, -"
"соляной раствор";"die Salzlake, -n"
"получение семени";"die Samengewinnung, -en"
"сперматозоид";"die Samenzelle, -n"
"общее понятие";"der Sammelbegriff, -e"
"разрешение на сбор";"der Sammelerlaubnisschein, -e"
"коллекция";"die Sammlung, -en"
"песок";"der Sand, -e"
"предел насыщения";"der Sättigungswert, -e"
"зарыбок";"der Satzfisch, -e"
"кислород";"der Sauerstoff, -"
"потребление кислорода";"der Sauerstoffabbau, -"
"выделение кислорода";"die Sauerstoffabgabe, -n"
"поглощение кислорода";"die Sauerstoffaufnahme, -n"
"потребность в кислороде";"der Sauerstoffbedarf, -e"
"способность связывать кислород";"das Sauerstoffbindungsvermögen, -"
"производство кислорода";"die Sauerstofferzeugung, -en"
"содержание кислорода";"der Sauerstoffgehalt, -e"
"недостаток кислорода";"der Sauerstoffmangel, -"
"снабжение кислородом";"die Sauerstoffversorgung, -en"
"распределение кислорода";"die Sauerstoffverteilung, -en"
"потребление кислорода";"die Sauerstoffzehrung, -en"
"млекопитающее";"das Säugetier, -e"
"способность связывать кислоту";"das Säurebindungsvermögen, -"
"кислота";"die Säure, -n"
"повреждение; ущерб";"der Schaden, -"
"предотвращение ущерба";"die Schadensabwehr, -"
"возмещение ущерба";"der Schadensersatz, -"
"повреждение";"die Schädigung, -en"
"вредитель";"der Schädling, -e"
"вредное вещество";"der Schadstoff, -e"
"раковина; скорлупа";"die Schale, -n"
"острота";"die Schärfe, -n"
"тень";"der Schatten, -"
"зрители";"die Schaulustige, -n"
"бедро";"der Schenkel, -"
"ножницы";"die Schere, -n"
"полёвка-водяная крыса";"die Schermaus, -e"
"разница";"der Schied, -e"
"черепаха";"die Schildkröte, -n"
"тростник";"das Schilf, -"
"заросли тростника";"der Schilfbestand, -e"
